C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/06/2019,00:00:00,REGULAR,0007008540,0002376546                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/06/2019,04:00:00,REGULAR,0007008567,0002376549                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/06/2019,08:00:00,REGULAR,0007008587,0002376590                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/06/2019,12:00:00,REGULAR,0007008705,0002376656                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/06/2019,16:00:00,REGULAR,0007008938,0002376715                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/06/2019,20:00:00,REGULAR,0007009282,0002376755                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/07/2019,00:00:00,REGULAR,0007009464,0002376791                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/07/2019,04:00:00,REGULAR,0007009480,0002376798                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/07/2019,08:00:00,REGULAR,0007009487,0002376819                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/07/2019,12:00:00,REGULAR,0007009580,0002376880                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/07/2019,16:00:00,REGULAR,0007009806,0002376916                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/07/2019,20:00:00,REGULAR,0007010043,0002376974                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/08/2019,00:00:00,REGULAR,0007010160,0002377000                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/08/2019,04:00:00,REGULAR,0007010169,0002377008                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/08/2019,08:00:00,REGULAR,0007010207,0002377121                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/08/2019,12:00:00,REGULAR,0007010349,0002377342                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/08/2019,16:00:00,REGULAR,0007010688,0002377375                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/08/2019,20:00:00,REGULAR,0007011474,0002377442                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/09/2019,00:00:00,REGULAR,0007011693,0002377460                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/09/2019,04:00:00,REGULAR,0007011712,0002377464                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/09/2019,08:00:00,REGULAR,0007011758,0002377559                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/09/2019,12:00:00,REGULAR,0007011905,0002377819                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/09/2019,16:00:00,REGULAR,0007012243,0002377875                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/09/2019,20:00:00,REGULAR,0007013042,0002377938                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2019,00:00:00,REGULAR,0007013276,0002377962                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2019,04:00:00,REGULAR,0007013295,0002377966                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2019,08:00:00,REGULAR,0007013346,0002378072                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2019,09:10:22,REGULAR,0007013409,0002378166                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2019,11:11:09,REGULAR,0007013489,0002378266                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2019,12:00:00,REGULAR,0007013525,0002378291                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2019,16:00:00,REGULAR,0007013887,0002378353                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/10/2019,20:00:00,REGULAR,0007014698,0002378414                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/11/2019,00:00:00,REGULAR,0007014920,0002378442                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/11/2019,04:00:00,REGULAR,0007014932,0002378445                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/11/2019,08:00:00,REGULAR,0007014970,0002378555                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/11/2019,12:00:00,REGULAR,0007015162,0002378802                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/11/2019,16:00:00,REGULAR,0007015466,0002378875                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/11/2019,20:00:00,REGULAR,0007016309,0002378942                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/12/2019,00:00:00,REGULAR,0007016533,0002378979                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/12/2019,04:00:00,REGULAR,0007016549,0002378983                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/12/2019,08:00:00,REGULAR,0007016598,0002379080                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/12/2019,09:01:45,REGULAR,0007016658,0002379184                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/12/2019,12:00:00,REGULAR,0007016771,0002379328                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/12/2019,16:00:00,REGULAR,0007017128,0002379403                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,04/12/2019,20:00:00,REGULAR,0007017944,0002379461                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/06/2019,00:00:00,REGULAR,0006246208,0001400896                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/06/2019,04:00:00,REGULAR,0006246221,0001400898                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/06/2019,08:00:00,REGULAR,0006246238,0001400924                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/06/2019,12:00:00,REGULAR,0006246339,0001400961                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/06/2019,16:00:00,REGULAR,0006246534,0001400999                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/06/2019,20:00:00,REGULAR,0006246846,0001401034                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/07/2019,00:00:00,REGULAR,0006247005,0001401050                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/07/2019,04:00:00,REGULAR,0006247020,0001401054                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/07/2019,08:00:00,REGULAR,0006247028,0001401064                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/07/2019,12:00:00,REGULAR,0006247094,0001401091                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/07/2019,16:00:00,REGULAR,0006247280,0001401116                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/07/2019,20:00:00,REGULAR,0006247502,0001401152                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/08/2019,00:00:00,REGULAR,0006247604,0001401158                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/08/2019,04:00:00,REGULAR,0006247614,0001401160                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,04/08/2019,08:00:00,REGULAR,0006247643,0001401222                                            
